# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,1499942.433782837,16984281044.84369,200
0,0,1,1073390.079529173,6566031721.297863,200
0,0,2,708785.1369925038,2759148665.138291,200
0,0,3,512927.089089899,1427954805.079785,200
0,0,4,399323.8944942498,874961966.5389037,200
0,0,5,317526.3419954812,558481496.1586604,200
0,0,6,259037.5023016566,380681735.4684255,200
0,0,7,210648.7520588592,249303630.8074434,200
0,0,8,179652.452558401,186133192.7348054,200
0,0,9,150485.2814994911,134083049.8143114,200
0,0,10,131421.0373580309,106308981.6331851,200
0,0,11,113054.7748724039,77046070.9804046,200
0,0,12,101947.6035480025,63723401.71153159,200
0,0,13,90286.03170142681,51167008.9449082,200
0,0,14,78524.30399423475,40437687.35834739,200
0,0,15,71898.23711051818,34919010.53402467,200
0,0,16,60886.95099026263,23952666.66005405,200
0,0,17,55939.73253816747,20856267.73593395,200
0,0,18,51796.09787126727,17205764.81995908,200
0,0,19,46174.69806062647,13721705.46359475,200
0,0,20,41435.78412148356,11063365.02992154,200
0,0,21,39718.97353022099,10740036.52021054,200
0,0,22,35650.40179992034,8734872.818734296,200
0,0,23,32773.99846679846,7355777.258560201,200
0,0,24,31031.00528506213,6674624.765240028,200
0,0,25,29277.1799700988,6551400.961761375,200
0,0,26,25732.2770192573,4953798.402600248,200
0,0,27,23328.21214268959,4150257.056363923,200
0,0,28,22428.46001722725,3783080.615309094,200
0,0,29,21137.33217306495,3262402.9355428,200
0,0,30,19210.61639773834,2683234.724937537,200
0,0,31,18081.61476320998,2411825.830992746,200
0,0,32,16932.48442052251,2139534.58223841,200
0,0,33,15982.83067580002,1868895.015765405,200
0,0,34,14555.66343032334,1803982.154307138,200
0,0,35,14026.71157005479,1520417.919805468,200
0,0,36,13830.79143752492,1639982.117893733,200
0,0,37,12041.34030394215,1133897.947011363,200
0,0,38,11776.45644174383,1532056.720507409,200
0,0,39,10581.20461093885,945377.7232241393,200
0,0,40,11242.019574731,1065243.083153469,200
0,0,41,9858.209361616975,737098.9684235418,200
0,0,42,9718.745392444678,811279.120892307,200
0,0,43,8238.037867183097,535891.766599135,200
0,0,44,7185.662382304489,454046.3429583925,200
0,0,45,6769.114874763663,398205.9503337027,200
0,0,46,6180.476504732315,307167.5928842299,200
0,0,47,5798.137851833128,287266.9951322267,200
0,0,48,5772.618859169868,329026.8452701725,200
0,0,49,4992.22964269636,230088.0741178822,200
0,0,50,4134.117609648227,184867.2738267262,200
0,0,51,3088.079302248003,112467.8923490263,200
0,0,52,2564.722162771855,90154.5795295717,200
0,0,53,1995.555405050534,61909.55000024186,200
0,0,54,1868.706293676137,64578.30567718299,200
0,0,55,1441.187551359151,37107.02449836386,199
0,0,56,1311.440949424222,35163.56523310365,197
0,0,57,1048.132910552894,32813.74373234408,199
0,0,58,903.6399995918723,25747.17027654633,199
0,0,59,663.0779880776699,13033.50662931239,199
0,0,60,535.6782016960208,9375.270325650097,197
0,0,61,553.0757059989571,13854.49191960258,195
0,0,62,518.8469841193983,14684.61129309898,193
0,0,63,339.6413223198065,5769.015633198835,187
0,0,64,348.0599846784121,9671.775954332063,180
0,0,65,264.7743009267975,6581.864907912591,166
0,0,66,84.23329367708718,308.825837435986,150
0,0,67,38.34309262667167,114.3817177926546,111
0,0,68,15.85223005823805,37.05056122479242,87
0,0,69,24.49623777794027,109.5932094013702,49
0,0,70,0.1654912926548939,0.01075483277649466,21
