# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,1658398.262843469,19468338705.57057,200
0,0,1,1120339.078664432,7254611393.18084,200
0,0,2,716250.0544380392,2801158581.636848,200
0,0,3,503314.3417328781,1400887758.518586,200
0,0,4,367034.2238499512,754990112.5296575,200
0,0,5,294222.9171161285,493917846.9062535,200
0,0,6,239144.552359947,332921260.0816714,200
0,0,7,195205.4669657148,225526423.1144416,200
0,0,8,161174.0028251926,155972540.2037207,200
0,0,9,139811.4828685566,117807380.1324864,200
0,0,10,121821.1182356987,92675343.1511279,200
0,0,11,106480.8729356173,70905613.79384875,200
0,0,12,89256.08047976244,50074295.97854984,200
0,0,13,77580.97092090281,38478247.63944673,200
0,0,14,66897.26570076274,28818182.59929004,200
0,0,15,59295.27225059571,23013001.31380529,200
0,0,16,52362.04596227194,18589006.35083006,200
0,0,17,47435.39116612379,15934114.92317986,200
0,0,18,43666.34355525138,13459589.11132203,200
0,0,19,39099.34908690716,11202286.02594099,200
0,0,20,34243.79459918445,8773542.767936634,199
0,0,21,32362.68211752574,8452923.282651778,199
0,0,22,28261.66687837404,6403226.065814804,199
0,0,23,25350.50808973455,5043809.462518365,200
0,0,24,23942.6299776313,4157777.57033518,199
0,0,25,22137.86426457809,3660844.190666393,200
0,0,26,21577.1562585819,3745770.620845169,200
0,0,27,20223.45330812771,3133048.420431826,200
0,0,28,18775.69078460598,2950533.256679607,199
0,0,29,16795.21882851684,2273908.233052746,200
0,0,30,16510.70867694681,2454029.002422648,200
0,0,31,14584.07993032053,1681680.877691862,199
0,0,32,13696.35474001227,1512885.999219499,198
0,0,33,13246.63747404068,1597837.827649137,199
0,0,34,11753.90238332307,1083012.411868346,199
0,0,35,11642.91572502624,1104578.317678791,199
0,0,36,10592.06874596011,950434.1245165593,199
0,0,37,9798.781230772362,814278.3834828988,199
0,0,38,9615.243114633611,769726.1189550144,199
0,0,39,8954.356233096041,689198.0768616985,199
0,0,40,8258.404379029405,577385.2124018666,199
0,0,41,7602.515109285865,516705.8221563941,199
0,0,42,7479.448103735823,519103.9161307513,199
0,0,43,6337.565489318684,370858.9969572477,199
0,0,44,5840.770334593582,296345.1890378221,199
0,0,45,5121.238647129598,232580.3413323637,199
0,0,46,5570.086159293967,329358.7841532358,199
0,0,47,5249.438364623717,292316.004634904,199
0,0,48,5272.243198983055,333016.8283426154,199
0,0,49,4693.158370090076,288359.9160711658,199
0,0,50,3619.256558598137,154079.5813548251,198
0,0,51,3234.04285370563,158809.8603387183,199
0,0,52,2151.810308127187,70010.30084712571,198
0,0,53,1941.901809552848,59671.96626641835,198
0,0,54,1657.085993032762,48343.48177790796,197
0,0,55,1313.875234901816,31574.08060501361,197
0,0,56,1128.885208896704,29958.79503988343,197
0,0,57,847.9397691607835,20610.80415996195,196
0,0,58,571.2902554252773,9303.939833518956,197
0,0,59,473.4289687357456,6601.679562420779,194
0,0,60,399.2965761248444,6176.027139489215,189
0,0,61,257.3393948263995,1439.099003488261,186
0,0,62,204.7945275767311,859.3836292012392,184
0,0,63,172.1412639128075,805.6242781213638,181
0,0,64,121.1375661069349,487.7096272140247,170
0,0,65,120.5441601629335,3031.345301162707,142
0,0,66,90.18681618268199,789.0722417298535,120
0,0,67,110.1368724064069,3079.129145827077,93
0,0,68,61.91914868629639,2060.754671624649,63
0,0,69,12.51592092701296,64.63369612862454,30
0,0,70,0.01295131730148569,0.0001024295666525674,14
