# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,3742385.533009201,7864174955.948601,2500
0,0,1,2905588.675516948,4292452303.683533,2500
0,0,2,2209267.261226863,2290706546.050995,2500
0,0,3,1716376.930550643,1369684211.490062,2500
0,0,4,1368259.215851323,885258120.9146826,2500
0,0,5,1101332.6831996,569686940.7751743,2498
0,0,6,907386.3904169411,391326378.0394238,2498
0,0,7,750482.1849050076,274296569.9249752,2496
0,0,8,631952.984970653,199533137.1843032,2498
0,0,9,543026.0530184938,149642212.6746852,2497
0,0,10,468824.4753044824,118184434.6421095,2496
0,0,11,410109.6530653005,92630087.15040106,2493
0,0,12,358741.3107523384,74198736.63469653,2487
0,0,13,308020.6558371671,55402947.12691496,2489
0,0,14,278369.4155956514,46913346.19894161,2488
0,0,15,252001.6030066991,41015174.25789338,2489
0,0,16,221309.4571899558,31597374.73953705,2486
0,0,17,196503.2080231085,25420235.49521569,2485
0,0,18,183446.3570641932,23159039.36074635,2487
0,0,19,166541.225692191,19413798.90929252,2486
0,0,20,148866.5805448199,15702619.95006039,2483
0,0,21,132075.0576454868,12687644.46379419,2482
0,0,22,121364.2380211955,10614902.08176033,2481
0,0,23,113691.7302203537,10023966.5985415,2482
0,0,24,101230.3644228514,8098915.850214972,2484
0,0,25,96234.79535796282,7452903.697260871,2483
0,0,26,90185.05035111088,6634180.543683886,2484
0,0,27,83923.41702967449,6035184.171740552,2477
0,0,28,76835.31007799211,5376543.908129655,2479
0,0,29,73260.73426666233,4706393.748045597,2481
0,0,30,67250.53344935202,4158454.560921456,2480
0,0,31,60868.0519414939,3257276.134785216,2479
0,0,32,58763.46899059576,3251940.245483438,2477
0,0,33,56075.68964875185,3068213.441062499,2478
0,0,34,52179.71284831583,2742422.352405925,2475
0,0,35,47833.01324382517,2320642.001655218,2478
0,0,36,44557.34349231294,1961483.057408644,2476
0,0,37,41539.85983567801,1866308.032082052,2477
0,0,38,39138.86779352677,1625458.41205726,2478
0,0,39,37045.37485436909,1552689.103366303,2474
0,0,40,34534.53195349148,1341046.45684585,2475
0,0,41,33225.04599771182,1272846.633032162,2468
0,0,42,31002.49426323955,1129155.236825661,2471
0,0,43,28981.4509679676,970287.1443188967,2470
0,0,44,27648.52174076164,1054332.714292288,2470
0,0,45,24503.11453439264,804941.0375225783,2470
0,0,46,22718.26856790482,734483.4345512629,2465
0,0,47,20841.98694007523,623460.2134869333,2465
0,0,48,18241.61486098124,520370.783977422,2462
0,0,49,17394.83372987973,543828.1356184697,2456
0,0,50,13573.09191537447,361607.1432585751,2451
0,0,51,11252.08262319511,319124.9916853319,2447
0,0,52,9071.905478892088,219331.8279014014,2429
0,0,53,6972.699457710562,113483.5154738545,2416
0,0,54,7159.021866717178,405909.8868797107,2407
0,0,55,5600.395379803544,139270.4404909256,2380
0,0,56,4542.953882453015,145817.4877795267,2342
0,0,57,3441.225081205043,56656.07987871175,2293
0,0,58,2882.991789933286,60437.95984968784,2230
0,0,59,2426.564586857485,51871.7438587075,2159
0,0,60,1824.581883208914,28297.89805007792,2055
0,0,61,1681.247448873759,24149.92858928429,1886
0,0,62,1322.003924972313,40892.7642666636,1707
0,0,63,993.6000160734611,19857.55158558258,1477
0,0,64,699.9106881525465,11463.26648654756,1260
0,0,65,422.8123190817252,5403.705916303806,1021
0,0,66,231.3371474249527,932.0962307775111,768
0,0,67,223.4222220192866,3021.185353155947,538
0,0,68,142.3673742345163,2650.669908558295,361
0,0,69,68.80548988055615,819.9802971394442,169
0,0,70,12.11659904725953,81.35354588078279,64
