# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,8553714.646306513,43398185873.97449,2500
0,0,1,6706489.783453722,21434746896.10688,2500
0,0,2,4631323.431323534,9594044009.414894,2500
0,0,3,3455312.669709654,5360437456.61777,2500
0,0,4,2687312.04636038,3285079206.893083,2500
0,0,5,2164450.823269226,2150045737.69777,2500
0,0,6,1770905.855467488,1454347833.956896,2500
0,0,7,1472603.030178239,1022531566.286623,2500
0,0,8,1236067.17312342,730238345.5316144,2500
0,0,9,1076432.214268264,566754190.2622626,2500
0,0,10,913467.4123069337,415854675.4385992,2500
0,0,11,801218.537328386,333061474.4366424,2500
0,0,12,708546.9906728941,267395551.1984187,2500
0,0,13,626187.1793633641,213616162.7728817,2500
0,0,14,555842.3583164988,169470173.1477621,2500
0,0,15,494776.3107860141,137484774.1894653,2500
0,0,16,442347.894965373,109333915.0011312,2500
0,0,17,395651.6013969369,90316056.25067237,2500
0,0,18,358307.0614619491,74338634.44417407,2500
0,0,19,332074.5216201828,66859224.40814885,2500
0,0,20,298714.5518873249,53256247.01201098,2500
0,0,21,272536.9234049018,45296070.38379958,2500
0,0,22,252656.7924353092,39619554.32350061,2499
0,0,23,234514.7406730183,34997091.56015521,2500
0,0,24,216963.1973214463,29989512.627661,2500
0,0,25,206094.9481603645,28703305.5164107,2500
0,0,26,187387.4853461791,24088314.68838659,2499
0,0,27,178060.2366278136,22422612.13115901,2499
0,0,28,159428.0671315065,17418466.39371994,2499
0,0,29,148977.895364036,15265656.46562543,2499
0,0,30,137916.2518224908,13397151.2491671,2499
0,0,31,130625.3921855236,12101004.29643087,2499
0,0,32,122457.758066532,10896476.88512548,2499
0,0,33,117227.2686020179,10144884.22363257,2499
0,0,34,107292.9800423286,8284377.154767555,2499
0,0,35,102530.0046838514,7980724.452927534,2498
0,0,36,92720.7300092403,6210914.626376183,2499
0,0,37,90926.69849710725,6779067.681388233,2500
0,0,38,82234.58537259314,5183780.469321389,2499
0,0,39,76970.53883759536,4485945.259609993,2497
0,0,40,74324.47158847887,4269586.308334909,2497
0,0,41,71283.4472511346,4248040.66957911,2496
0,0,42,66717.60855386496,3923919.038538733,2499
0,0,43,61553.44522941973,3473863.571349985,2498
0,0,44,57339.64151407455,2974542.525955911,2496
0,0,45,55262.87617282865,3041118.280179211,2497
0,0,46,51278.20306488451,2442847.478069361,2496
0,0,47,47135.82540863849,2324858.245606543,2492
0,0,48,42615.78776208659,1993863.086783228,2494
0,0,49,39780.16771534076,1775829.627742161,2493
0,0,50,30066.39371246733,1104237.642093651,2491
0,0,51,24594.83981861066,806700.2890710413,2490
0,0,52,21510.65333883929,753340.3571631204,2481
0,0,53,16935.95595024389,535668.8871188735,2480
0,0,54,13255.2218510566,345161.2457225057,2470
0,0,55,11099.34181221684,262837.2092016458,2462
0,0,56,9962.219309066782,241003.6967275393,2453
0,0,57,7882.844093005174,142376.1124586452,2431
0,0,58,6822.880231631293,178183.590463176,2427
0,0,59,5776.750413333728,158044.7129903278,2388
0,0,60,4295.713453187636,87378.8599948865,2363
0,0,61,4065.282512225537,114979.4637260896,2316
0,0,62,2797.27734375453,41835.78527175721,2213
0,0,63,2183.086886503567,38327.25298585795,2112
0,0,64,1805.850718989237,56550.96287419905,1922
0,0,65,1307.050072835641,26614.33954431298,1687
0,0,66,907.2000103626492,23578.38272418413,1391
0,0,67,638.9576406709655,12465.60629461343,1023
0,0,68,286.8276110125612,2883.563496287076,682
0,0,69,229.3288532005213,4886.338875839984,375
0,0,70,31.92924295407607,245.5431628979563,162
