# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,34965175.79838922,662463504474.302,2500
0,0,1,22068899.43706276,210776805951.0115,2500
0,0,2,13859827.88666259,82013037935.57088,2500
0,0,3,9885818.671238262,41917330953.52518,2500
0,0,4,7509976.261138413,24438123381.43164,2500
0,0,5,5955371.165045815,15568193860.12108,2500
0,0,6,4827003.712506434,10419902827.86494,2500
0,0,7,3973848.949380739,7147116259.586263,2500
0,0,8,3332656.92466131,5104303568.500706,2500
0,0,9,2802435.358049155,3609821177.017065,2500
0,0,10,2411851.766199165,2720886396.683632,2500
0,0,11,2072484.739457144,2037772127.369746,2500
0,0,12,1816264.605258804,1571007535.912152,2500
0,0,13,1590472.815547649,1218829612.428743,2500
0,0,14,1404622.536225101,959712471.4850016,2500
0,0,15,1263010.241552932,796007570.5016954,2500
0,0,16,1132944.539212588,642348898.8032814,2500
0,0,17,1012563.356887389,516036641.6755274,2500
0,0,18,907229.7587937097,414983165.5982394,2500
0,0,19,831003.9595230441,355473223.2805634,2500
0,0,20,746251.0359331591,285661998.3602688,2500
0,0,21,685647.4923761886,248531115.0842592,2500
0,0,22,624699.2286682486,207084881.6724882,2500
0,0,23,581729.4479209221,181755895.0957849,2500
0,0,24,530921.0560845385,152550084.3209319,2500
0,0,25,488607.4595497994,130257095.5241972,2500
0,0,26,456667.4091188594,113876237.4751555,2500
0,0,27,421034.1633349814,96779051.84995349,2500
0,0,28,396423.5074957706,86326046.86760429,2500
0,0,29,368918.5028677852,75957711.42948325,2500
0,0,30,346863.9994678442,66878682.22006936,2500
0,0,31,324171.0888760777,58846733.9821368,2500
0,0,32,299840.0676950856,50512527.79735176,2500
0,0,33,282501.1288009346,45527383.21755886,2500
0,0,34,271645.7809753082,43222098.15586475,2500
0,0,35,251662.0204895436,36624743.41285396,2500
0,0,36,235635.1959621037,32607923.45087028,2500
0,0,37,224732.0375494622,29425207.73590029,2500
0,0,38,212485.2151308466,26559377.00357909,2500
0,0,39,197135.5957517523,23572662.90417073,2500
0,0,40,183952.1919624797,20435686.97708778,2500
0,0,41,172390.2084880007,18179483.56149095,2500
0,0,42,165638.7563702912,16817011.2109333,2500
0,0,43,155252.2928577001,14849314.4006895,2500
0,0,44,144905.3605568146,13518055.86788107,2500
0,0,45,134788.2657514477,11866749.23545879,2500
0,0,46,126727.8741853654,10981363.17785907,2500
0,0,47,118658.2614041447,9806249.291985465,2500
0,0,48,104384.7624267805,7439850.919904543,2500
0,0,49,95919.39732441532,6569759.177137572,2500
0,0,50,75682.49860530507,4246451.300754798,2499
0,0,51,60642.75623642491,3179390.513730432,2499
0,0,52,49504.06994853866,2391572.836596983,2499
0,0,53,41486.02595068009,1790855.021097205,2498
0,0,54,36033.11237692877,1812543.900117011,2495
0,0,55,28848.34981149288,1031969.731599489,2496
0,0,56,23600.02321565611,748325.7725195733,2493
0,0,57,19029.88077805777,484463.0936327396,2493
0,0,58,17860.77455108087,608071.1885642468,2484
0,0,59,14404.18146778482,592211.301070031,2478
0,0,60,11308.57633532785,307593.3204145523,2465
0,0,61,8472.320639815844,167682.4569125031,2453
0,0,62,7588.693103657453,235473.3843004518,2448
0,0,63,6510.329268328895,252626.2279592705,2399
0,0,64,4333.870960246336,112322.6727686151,2353
0,0,65,3301.358460450272,86555.23640753825,2275
0,0,66,2547.278832311286,66572.33754862813,2091
0,0,67,1589.380939912365,47830.24130815805,1802
0,0,68,963.8555895004071,23318.60821225255,1354
0,0,69,410.8310431988322,13315.02563475419,793
0,0,70,55.15752124918336,591.5609662589984,337
