# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,1703227.190591279,8420712805.702435,500
0,0,1,1344144.736606189,4282178051.07979,500
0,0,2,936795.0667623071,1965323201.145938,500
0,0,3,707819.8682132557,1128051815.486848,500
0,0,4,547371.6475102245,663940934.7605098,500
0,0,5,438164.0332710492,434800636.9579685,500
0,0,6,356504.028142939,293912152.7575091,500
0,0,7,290483.8327445003,197166084.8182608,500
0,0,8,243986.8634594923,142631119.1999866,500
0,0,9,213315.510569591,110364368.4356848,500
0,0,10,182427.2266732902,81700775.53112498,500
0,0,11,161582.1260119171,69007267.4158781,500
0,0,12,140598.4436878564,51408384.32038681,500
0,0,13,122656.0299888372,40208345.79753751,500
0,0,14,106074.1618003133,29780272.9937145,500
0,0,15,98478.04880939241,27309569.19803504,500
0,0,16,86998.87142856684,21187119.40099575,500
0,0,17,80074.29767750739,19127581.46100794,500
0,0,18,69576.04243903421,14341673.166316,500
0,0,19,66148.44510443188,14359042.93344333,500
0,0,20,57518.96250936156,9599092.500332585,500
0,0,21,51932.4049124247,8052896.175170766,500
0,0,22,47757.77841705052,6889745.52380328,500
0,0,23,46520.79895055373,6979515.226372855,500
0,0,24,42925.08546750189,5782415.650033982,500
0,0,25,41330.01142796504,5730905.32353706,500
0,0,26,37639.1232618733,4583995.975704525,500
0,0,27,34983.13466417589,4366412.540422764,500
0,0,28,31681.7917855541,3255011.452676234,500
0,0,29,28226.89303889832,2648641.122541883,500
0,0,30,26983.93819789062,2542797.146299697,500
0,0,31,24898.35121158246,2074187.743154934,500
0,0,32,24268.93311348673,2076452.58574794,500
0,0,33,22659.0304257948,1669532.09317742,500
0,0,34,21161.55540330913,1480161.25467166,500
0,0,35,19934.8661305428,1456819.556386182,500
0,0,36,18892.9459925925,1391991.710450992,500
0,0,37,18639.52340831901,1404110.321282848,500
0,0,38,17088.12851159894,1269101.761553801,500
0,0,39,15013.11182904748,802937.6326730337,500
0,0,40,15109.00978336249,872390.3174377116,500
0,0,41,14264.42836242238,879902.2277379652,500
0,0,42,12923.65334308904,721573.6787195955,500
0,0,43,11555.42822202281,510062.0941453472,500
0,0,44,11338.97194008523,587710.8732611251,500
0,0,45,11102.24061029492,627812.6617225269,500
0,0,46,9972.173673706522,433600.5871282675,499
0,0,47,9717.114470978222,446253.1952589447,498
0,0,48,8549.515694439764,397630.4229534232,499
0,0,49,8012.708591254164,365669.5391299425,499
0,0,50,6163.535742880407,257166.3468420219,498
0,0,51,5019.404231913854,151789.233750361,499
0,0,52,4212.012238347444,121833.7480662545,498
0,0,53,3202.722747046582,101135.4848150465,498
0,0,54,2055.083815239072,33766.98738344938,498
0,0,55,2285.562438589734,63201.03212833864,496
0,0,56,1971.734814676506,37339.03219842457,492
0,0,57,1450.537481521493,19978.33817215185,487
0,0,58,1519.366150990969,77022.08557909178,485
0,0,59,1240.889286237569,32875.86408276705,476
0,0,60,771.9641790151512,13621.08990793516,471
0,0,61,859.3895216390523,30838.54368705494,464
0,0,62,696.5791142646544,13237.64253971271,443
0,0,63,527.5816424387318,8079.645507290525,425
0,0,64,530.8457031689918,32063.30458747379,398
0,0,65,318.9078675138875,9506.703802942517,338
0,0,66,326.5014864397714,13877.53332393768,295
0,0,67,259.9888450579608,8374.209740319302,216
0,0,68,102.5650779172779,1794.8712722658,150
0,0,69,50.79599985549076,690.4392006639634,86
0,0,70,2.48263127214141,4.104422142816424,35
