# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,8468525.33403275,42789413207.35854,2500
0,0,1,6579057.533615609,21018060016.99114,2500
0,0,2,4496260.063576351,9170062778.54071,2500
0,0,3,3301244.370159352,4966681066.586821,2500
0,0,4,2568589.246444616,3044341800.194503,2500
0,0,5,2050586.105125901,1967597743.66033,2500
0,0,6,1675017.495030434,1326927377.13788,2499
0,0,7,1384950.262834175,924437336.4388943,2497
0,0,8,1167454.960102783,671979925.4471208,2497
0,0,9,990855.6484605218,491834323.0605725,2496
0,0,10,854255.992307966,380030891.2789807,2493
0,0,11,747520.1644847366,296253144.8184907,2493
0,0,12,644665.6682373213,225840024.4725628,2491
0,0,13,561930.6657433051,170846009.524303,2491
0,0,14,492718.3484068301,134800613.2035835,2490
0,0,15,437984.9891947865,108796229.5657456,2488
0,0,16,389961.3070039796,88226409.2771832,2489
0,0,17,350720.5509423632,73709405.98863904,2487
0,0,18,314872.7972043473,59932944.92425141,2486
0,0,19,286045.479578166,51275548.20723577,2486
0,0,20,259988.085835343,42451460.32990712,2486
0,0,21,237220.1445088213,36083488.9290414,2484
0,0,22,216560.0210303041,31304972.50072834,2485
0,0,23,196727.9656861543,25350770.2810392,2486
0,0,24,179873.6287779534,21845000.24238979,2483
0,0,25,170099.9548015267,20770274.96525295,2482
0,0,26,153184.5684534136,16353741.5214956,2482
0,0,27,147089.0096939607,16426271.66934156,2482
0,0,28,132543.1713129657,12959275.30127751,2481
0,0,29,122873.3472217295,11245372.82666297,2481
0,0,30,115961.5736358185,10304368.23414523,2481
0,0,31,110475.548376943,9652998.598587558,2480
0,0,32,102177.2031350002,8274648.122531069,2480
0,0,33,94987.84544983106,6932279.711908447,2481
0,0,34,91014.36838070265,6608958.336636202,2481
0,0,35,83586.52551983271,5613399.870009752,2477
0,0,36,77652.52116829391,4747195.084141051,2478
0,0,37,74461.0036154534,4750906.985434893,2479
0,0,38,67956.19922274258,3747492.441658649,2477
0,0,39,65040.35955177373,3570921.676185939,2474
0,0,40,62263.63162772375,3289928.119710995,2474
0,0,41,57714.35437456548,3077166.655400389,2472
0,0,42,55149.06780266186,2955813.965032514,2475
0,0,43,49741.63992096551,2356839.251144073,2473
0,0,44,45532.54650773996,1870211.680497959,2469
0,0,45,43076.01205574058,1919679.064371425,2471
0,0,46,40055.92574690654,1672644.827062574,2471
0,0,47,35785.27664995634,1338650.875887223,2466
0,0,48,34519.92182672764,1450397.968439999,2469
0,0,49,30982.75287776003,1137398.140174373,2464
0,0,50,24097.38671352775,844164.6729359954,2460
0,0,51,19686.32007372023,681322.2666212965,2455
0,0,52,15995.4199373626,456605.2360291833,2444
0,0,53,13270.30911141673,426385.6913940905,2442
0,0,54,10540.72888630954,248744.2227716188,2435
0,0,55,9596.52195842073,305487.0257507146,2423
0,0,56,7635.146868234506,175570.3854852385,2408
0,0,57,6016.06424743229,124251.0869982783,2381
0,0,58,5404.881387877761,105313.2941973144,2355
0,0,59,4082.719092710287,92965.41413864827,2311
0,0,60,3343.04420170174,85761.92732069758,2270
0,0,61,2486.123904834153,42474.20825826622,2203
0,0,62,2144.318041971741,40240.58729630039,2080
0,0,63,1661.202319770665,47528.87970700231,1949
0,0,64,1356.302198769425,25596.10111871596,1703
0,0,65,949.2339968333722,23722.75932597043,1468
0,0,66,477.5471778003597,9402.858009703086,1171
0,0,67,548.2581127669868,31712.82509529475,843
0,0,68,336.6722581944894,8215.64847726181,583
0,0,69,206.9431859882091,8439.190815415186,307
0,0,70,85.89040604612958,4738.355318231027,128
