# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,6794071.786271298,125680930193.6231,500
0,0,1,4404919.770474492,42127984637.98341,500
0,0,2,2842028.054527912,17655597892.61274,500
0,0,3,2041557.005998724,8983248002.564703,500
0,0,4,1537924.895104642,5098275319.674428,500
0,0,5,1202107.201268056,3142646993.069918,500
0,0,6,985377.7425448007,2161226477.905924,500
0,0,7,802493.4364067928,1440582292.80837,500
0,0,8,665991.1403886772,1008330757.008078,500
0,0,9,564046.5083847209,732279635.7510897,500
0,0,10,480770.3729464634,533544786.3293011,500
0,0,11,409400.8498895773,393783050.4171163,500
0,0,12,357132.516691429,302435844.5567427,500
0,0,13,310836.8356704616,233088657.4536213,500
0,0,14,277510.1559204616,186603536.7054137,500
0,0,15,246090.3239402169,148972861.2878036,500
0,0,16,226134.6817070155,126781370.4645677,500
0,0,17,204021.2348507273,104187596.9146117,500
0,0,18,183819.3240471431,84932579.64623873,500
0,0,19,167069.6029784489,70232213.06718166,500
0,0,20,150607.3956507018,57918832.46701347,500
0,0,21,136190.3651782433,47731377.89329918,500
0,0,22,126963.9733798053,42417755.43013486,500
0,0,23,116680.6377567195,35105962.12145825,500
0,0,24,106477.5671105362,29910811.70291185,500
0,0,25,96886.29877685536,24496905.2922071,500
0,0,26,90573.29248615116,22721625.82566883,500
0,0,27,84534.76706523397,19615846.26135396,500
0,0,28,79569.5065512031,17965372.79913045,500
0,0,29,74520.33325507003,15814313.47170204,500
0,0,30,70796.53088763139,14344621.17435102,500
0,0,31,63621.50788767283,11196792.5669304,500
0,0,32,60460.11314689262,10310861.14740026,500
0,0,33,53836.91863461684,8021798.352609206,500
0,0,34,50742.47881242856,7177997.799202464,500
0,0,35,48341.48465795859,6554657.069241989,500
0,0,36,46713.72549829401,6261338.947281665,500
0,0,37,44988.86482168444,5997901.092648414,500
0,0,38,42408.96597579891,5362426.71214956,500
0,0,39,40287.18882333941,5296521.793619709,500
0,0,40,37755.73865455692,4363627.830508893,500
0,0,41,33055.94647182439,3182092.629823469,500
0,0,42,31617.97384814382,3162931.204138345,500
0,0,43,30070.26729375903,2593555.915825103,500
0,0,44,27682.05811990324,2324836.679475287,500
0,0,45,27527.86744139247,2424946.704658814,500
0,0,46,25643.36791395208,2239971.478316285,500
0,0,47,24520.34368090906,2121973.667790595,500
0,0,48,20085.52015825561,1422755.437938762,500
0,0,49,18681.22694940879,1222431.060169191,500
0,0,50,14927.34286517269,806569.7832318405,500
0,0,51,11168.70097076588,517453.5419576388,500
0,0,52,10069.13295044335,532226.718349532,500
0,0,53,8221.893708522392,342853.5117791891,500
0,0,54,7359.00026669055,303853.3447346064,498
0,0,55,5606.655804863316,191135.9531988184,499
0,0,56,4502.406013287932,121011.6358139931,499
0,0,57,3797.896752728666,84619.00921679217,498
0,0,58,3527.510100703642,97486.85698564943,495
0,0,59,2635.167945884528,94913.55124549422,494
0,0,60,2297.546719202252,71924.98306432791,489
0,0,61,1849.739416582701,48505.028855756,488
0,0,62,1857.189739634153,73845.54285614083,489
0,0,63,1398.113919466017,71385.84019711459,483
0,0,64,811.4984657183946,21614.53981297341,471
0,0,65,682.3701599118692,22732.08259936639,457
0,0,66,385.2422988221671,7855.773450644639,416
0,0,67,282.6065028459364,5714.547001972325,359
0,0,68,122.662471315033,514.4681575848026,267
0,0,69,72.95823810153996,1748.346250082956,155
0,0,70,11.90657896916581,103.3835926871645,67
