# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,33969419.99669435,637496823934.2701,2500
0,0,1,21018627.3328778,196653561596.8311,2500
0,0,2,12973798.99581197,74298423050.91988,2500
0,0,3,9093660.913638135,36989649956.69137,2500
0,0,4,6786639.165459576,20781970611.65047,2499
0,0,5,5311178.808379568,12834051836.85704,2498
0,0,6,4240423.358087341,8332052475.109143,2499
0,0,7,3458228.133149575,5645559748.579883,2499
0,0,8,2857711.034193331,3899109303.265134,2497
0,0,9,2401056.074054207,2790000459.631283,2498
0,0,10,2032234.342764475,2020627863.754231,2497
0,0,11,1747292.344401197,1520998209.235761,2495
0,0,12,1516933.354018281,1156845422.094325,2493
0,0,13,1326916.959318981,907086808.121979,2485
0,0,14,1173143.768153402,717618166.2765869,2489
0,0,15,1040383.764111436,568205648.7876468,2487
0,0,16,931758.4560878158,462218321.426299,2485
0,0,17,824536.9546463896,364160325.630682,2483
0,0,18,733037.4963157357,294108699.0394566,2483
0,0,19,652507.0106335375,233614602.340824,2482
0,0,20,600429.8433947532,201016563.9442713,2482
0,0,21,545100.3674719738,168353263.3011407,2481
0,0,22,501697.3478580377,144253033.2323194,2479
0,0,23,451629.2184130608,117789233.0553264,2478
0,0,24,417865.8111839785,102274562.703895,2475
0,0,25,381547.5029420143,84594145.86797979,2476
0,0,26,354476.5693965956,74383641.46490759,2477
0,0,27,329751.3936662599,65404708.12272824,2476
0,0,28,304009.363666145,55278982.68489539,2475
0,0,29,285160.1378841525,49455571.32038704,2477
0,0,30,266477.9638801136,43367422.31211215,2475
0,0,31,250283.9077058893,38948833.63125201,2475
0,0,32,227638.8138110951,32109510.26104751,2472
0,0,33,213292.6332370398,28474585.2581214,2475
0,0,34,196877.2851411097,24708782.95767367,2475
0,0,35,184831.0788027284,22014973.51149849,2474
0,0,36,174949.9627866263,19609327.04839724,2476
0,0,37,164548.4282645323,18045144.23210385,2472
0,0,38,157331.1389087715,16640368.76275836,2473
0,0,39,144686.3687485429,13713827.565625,2471
0,0,40,136411.7778943962,12542110.8605817,2471
0,0,41,127177.1871341584,11047469.29452631,2471
0,0,42,117784.1363727609,9509274.471174806,2472
0,0,43,108611.9631651183,8278218.050621964,2470
0,0,44,104999.0233593931,8067606.076433659,2470
0,0,45,96021.74153055361,6596936.058814082,2471
0,0,46,90943.64327652971,6581833.553092219,2471
0,0,47,85652.24180335773,5916982.126822621,2468
0,0,48,73786.18247771106,4152688.005845635,2469
0,0,49,68626.2958442456,3768303.035243007,2468
0,0,50,54644.34820196197,2969994.985496791,2467
0,0,51,42672.81232087361,1830465.179332481,2462
0,0,52,35327.70115204917,1356951.776593522,2463
0,0,53,30099.43303846124,1190518.886013638,2453
0,0,54,23187.59586665535,645079.8852829566,2453
0,0,55,20559.97253065477,577941.8574468053,2448
0,0,56,17213.04020464462,458826.8615607406,2445
0,0,57,15126.81245862779,413325.9866953741,2433
0,0,58,11373.71563727427,281323.7553794348,2419
0,0,59,10168.27791211623,337011.5176682925,2413
0,0,60,8083.04935645666,241167.8098063164,2406
0,0,61,5937.939982870948,122611.820722472,2374
0,0,62,4832.770933418936,100996.3081680137,2347
0,0,63,3987.004244622626,102483.8680329201,2287
0,0,64,2947.528521018908,63377.91530778806,2216
0,0,65,2483.976690025385,64756.05837591001,2070
0,0,66,1399.205276248876,27021.27583023711,1825
0,0,67,1105.494079414505,32152.08552325391,1484
0,0,68,629.765850182969,15680.72231324843,1119
0,0,69,245.5142088151196,6086.266930292239,651
0,0,70,68.63266315022317,1449.494376221922,274
