# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,654873.5196510014,3248588848.474733,200
0,0,1,514784.4303576146,1575324860.090073,200
0,0,2,368968.7934405574,765305048.277408,200
0,0,3,284706.7852638992,460747000.4130811,200
0,0,4,212614.048896444,251797009.3486482,200
0,0,5,166120.074556783,157943686.5657343,200
0,0,6,139267.4316422572,110629687.1682579,200
0,0,7,112270.0561345015,74592325.86101763,200
0,0,8,97922.24427244038,58248250.11721832,200
0,0,9,84590.33204911878,44096291.09441077,200
0,0,10,68804.8673982718,30248813.24447509,200
0,0,11,61198.38378674303,24538680.80516062,200
0,0,12,49147.06226459502,16202534.4865655,200
0,0,13,42781.09873600492,11552637.70612717,200
0,0,14,37439.18073140844,9367247.964459866,200
0,0,15,35554.7329220555,9321762.386201033,199
0,0,16,32824.59817267239,7725680.455274284,199
0,0,17,29133.24551152035,6430469.992164677,200
0,0,18,25603.42446259109,4905080.975489385,199
0,0,19,23981.71706129807,4562654.795557067,199
0,0,20,21488.16367612268,3444006.012002906,199
0,0,21,18646.98964281611,2631437.309548884,199
0,0,22,17561.13480432456,2697637.84443644,199
0,0,23,16108.80149194154,2217079.953215274,199
0,0,24,14605.69761675619,1855999.523978679,199
0,0,25,14123.95967001277,1923122.934024664,199
0,0,26,13026.4453035044,1655586.219356722,199
0,0,27,10931.20438772512,1073801.440927804,199
0,0,28,11603.21358975728,1379699.978587855,199
0,0,29,9240.40076495424,748971.6625262175,199
0,0,30,9453.779979615019,817144.4944553552,199
0,0,31,8367.814497300342,654263.9340019389,199
0,0,32,8950.455275812743,795036.2017948449,199
0,0,33,7512.743715132769,490794.8135517909,199
0,0,34,7768.029208927233,634049.9736962243,199
0,0,35,6924.327208750789,481615.1227263594,198
0,0,36,6355.276295814086,432872.7881750442,199
0,0,37,5830.869204848676,377124.5818733502,199
0,0,38,5480.415462214686,321885.5421266797,197
0,0,39,5439.058512255342,345710.9832986963,197
0,0,40,4747.637739544338,220907.487271918,198
0,0,41,4168.563922047244,186377.9697505413,197
0,0,42,4365.807411016872,276331.5638551514,197
0,0,43,3900.607696178315,182824.1888166176,197
0,0,44,3722.289036190371,152071.4125740711,197
0,0,45,3457.506155787324,136242.4857698904,197
0,0,46,3258.419439211626,150130.345775043,196
0,0,47,2950.890163032512,101483.4640899165,195
0,0,48,2828.458102606964,107969.8547010419,196
0,0,49,2654.897319700982,107987.374198332,197
0,0,50,2017.563968989447,60305.41788883456,197
0,0,51,1509.457249907366,40626.84262939011,197
0,0,52,1631.651016778754,69012.49060509111,196
0,0,53,1274.793568102356,67860.28326046915,194
0,0,54,933.1850896217209,32706.32819895768,195
0,0,55,831.333357522302,17622.40171682313,195
0,0,56,649.9705914949676,11513.00875137147,193
0,0,57,436.0370734675078,4328.847805596328,192
0,0,58,411.8389805637046,6020.936058374946,188
0,0,59,527.7260028284614,16949.4720410101,186
0,0,60,228.5067195996884,1775.259194091099,181
0,0,61,258.334914577553,6181.049181093088,170
0,0,62,255.1544819987172,3697.053220663988,169
0,0,63,171.7476198605025,2712.876591403136,159
0,0,64,69.71507301388955,434.3940873511388,138
0,0,65,67.45077594237293,364.644232426874,106
0,0,66,27.70999750548893,56.05887702930814,94
0,0,67,34.98767453187958,338.582030155223,70
0,0,68,14.91883389361232,38.88050004073396,54
0,0,69,6.84073924711352,39.92389693341944,20
0,0,70,1.158167155061428,1.210531606867728,9
