# mesh name: cylinderMesh1
# primitive scorer name: eDep
# iZ, iPHI, iR, total(value) [MeV], total(val^2), entry
0,0,0,2656874.853960816,47193993108.17916,200
0,0,1,1695909.581258276,15898969229.23511,200
0,0,2,1068419.602563694,6225733695.64068,200
0,0,3,749340.588867466,3210798138.84794,200
0,0,4,555063.6019790737,1709166321.604406,200
0,0,5,431214.5613140356,1035148384.63299,200
0,0,6,350370.3047898461,700865300.5203161,200
0,0,7,283628.6664600818,466925857.4216508,200
0,0,8,229517.8501001902,311271179.106975,200
0,0,9,194389.4838250204,225484431.0740144,200
0,0,10,164884.2917894434,164867523.4055111,200
0,0,11,145096.4358887554,132816816.1808808,200
0,0,12,125311.7097561939,97964580.54652566,200
0,0,13,107783.1964621555,74471415.57684119,200
0,0,14,96693.66658948161,60974071.77738345,200
0,0,15,83452.56765466621,45390242.25614027,200
0,0,16,73901.86176654929,34677631.85120749,200
0,0,17,64990.69525829283,27447682.03304292,200
0,0,18,56603.40587511212,21307378.17821489,200
0,0,19,52348.35167617258,18701967.45796938,200
0,0,20,48056.44686795116,16180382.29177127,200
0,0,21,45470.5160372282,15151854.7204676,199
0,0,22,40047.10614140175,11015480.75405316,200
0,0,23,37997.73621770637,10356929.30363414,200
0,0,24,33557.35414153102,8116178.715478148,199
0,0,25,31355.12039030452,7037868.621664791,199
0,0,26,28234.64016986168,5525554.793651474,199
0,0,27,26203.63268820746,4965718.910853821,199
0,0,28,24589.14883333966,4260365.072758938,200
0,0,29,22891.03396040132,3823327.569384663,200
0,0,30,19858.9072244728,2796209.620942922,200
0,0,31,20424.18727854497,3289425.514293479,199
0,0,32,17903.02831332917,2465743.273091895,199
0,0,33,17648.33586363956,2347510.569686587,199
0,0,34,16738.12678045301,2127713.04193408,200
0,0,35,15498.62344707847,1992070.342339383,199
0,0,36,14432.6659102827,1628147.943011942,200
0,0,37,13380.20685659289,1350668.868821365,199
0,0,38,13200.6719228881,1322815.513238596,199
0,0,39,12064.63425047634,1156746.770583564,199
0,0,40,10292.56355721742,845879.1953527108,199
0,0,41,10311.80713509806,886571.7480749772,199
0,0,42,9650.098522462371,890777.7421834162,199
0,0,43,8709.657038188263,670706.0557654448,199
0,0,44,8699.306142293986,686301.4405761822,199
0,0,45,7061.316803448846,454192.6825848535,199
0,0,46,6937.138067621718,463246.5672529467,199
0,0,47,7012.387511493669,489071.8536392341,199
0,0,48,5696.148946138288,339067.283350941,199
0,0,49,5409.723990963828,279349.8344287581,199
0,0,50,4355.097323219979,219501.104731889,199
0,0,51,3386.289792266714,183457.3425566273,199
0,0,52,2677.981046895241,85340.39707461605,199
0,0,53,2191.520680891901,61784.29981726909,198
0,0,54,2003.290188423316,52859.03837589939,199
0,0,55,1687.516729928032,51628.07845477286,199
0,0,56,1298.313572182457,36660.39848116013,198
0,0,57,1321.992441735648,39829.31460662559,199
0,0,58,1071.894064985532,23581.53267391878,198
0,0,59,937.2829236707055,44716.0665810311,198
0,0,60,696.2432458717362,20302.92241448845,195
0,0,61,519.7982420982258,11156.50882162715,195
0,0,62,343.1058703764147,6178.815435328725,190
0,0,63,268.4271157253299,4660.45942543547,182
0,0,64,324.6946129769878,12360.44209883241,181
0,0,65,169.7572298551354,2546.105274080429,170
0,0,66,78.20225053382607,345.7012570784811,148
0,0,67,90.21251257058717,1332.816317873149,113
0,0,68,94.83313483228552,6489.146698266994,87
0,0,69,11.95376456667139,21.75143558053188,51
0,0,70,8.128448773572535,64.44725019866388,22
